"","Proposed.Management.Action","District","Average_Funding_Shortfall","Average_Filtered_Costings_Data","Count"
"1","","Brora",0,2000,1
"2","","Ness",0,6000,1
"3","A","Brora",400,900,1
"4","A","Nith",0,1e+05,1
"5","D","Kyle of Sutherland",7000,17000,1
"6","D","Nith",0,1e+05,1
"7","D","Ugie",0,5000,1
"8","E","Ayr",5000,10000,1
"9","E","Dee",25000,161160,1
"10","E","Don",25000,80580,1
"11","E","Doon",0,2500,1
"12","E","Esk",0,41000,1
"13","E","Girvan",0,NA,1
"14","E","Kyle of Sutherland",0,180000,1
"15","E","Ness",0,32175,2
"16","E","Nith",30000,170000,1
"17","E","Northern",0,26000,1
"18","E","Spey",161000,161000,1
"19","E","Tweed",0,207000,1
"20","E","Western Isles",0,NA,1
"21","F","Nith",0,25000,1
"22","G","Cromarty",0,27100,2
"23","H","Dee",0,4000,1
"24","H","Don",0,2000,1
"25","H","Stinchar",20000,50000,1
"26","J","Cromarty",0,6000,2
"27","J","Kyle of Sutherland",0,7500,1
"28","J","Ness",0,8250,2
"29","J","Northern",0,1000,1
"30","J","Spey",1750,3250,2
"31","J","Tweed",0,16000,1
"32","L","Ayr",2000,10500,1
"33","L","Caithness",0,21000,1
"34","L","Doon",0,3000,1
"35","L","Fleet (Kircudbright)",0,3150,1
"36","L","Forth",85000,155000,1
"37","L","Ness",0,6500,1
"38","L","Nith",7500,162500,2
"39","L","Northern",0,NA,1
"40","L","Skye",0,NA,1
"41","L","Spey",30000,87000,1
"42","L","Stinchar",0,NA,1
"43","L","Western Isles",15748,15748,1
"44","M","Nith",0,20000,1
"45","N","Cromarty",0,30000,1
"46","N","Dee",0,3000,1
"47","N","Don",0,500,1
"48","N","Esk",0,7000,1
"49","N","Findhorn",0,50000,1
"50","N","Lossie",10000,50000,1
"51","N","Nairn",0,50000,1
"52","N","Nith",0,23750,2
"53","N","Skye",6000,33000,1
"54","N","Spey",2500,2500,1
"55","O","Esk",0,7000,1
"56","O","Findhorn",0,15000,1
"57","O","Ness",0,4000,4
"58","O","Spey",0,3900,1
"59","O","Stinchar",154000,314000,1
"60","O","Western Isles",920,920,1
"61","Q","Doon",15847.2,18394.4,5
"62","Q","Tweed",0,4000,1
"63","R","Spey",60000,120000,1
