"","Proposed.Management.Action","District","Scale","Costing.Certainty","Average_Funding_Shortfall","Average_Filtered_Costings_Data","Count"
"121","D","Deveron","3","Little Confidence",3500,3500,1
"122","D","Deveron","4","Fairly Confident",5000,5000,1
"123","D","Doon","1","Little Confidence",3000,3000,1
"124","D","Doon","4","N/A",NA,NA,1
"125","D","Doon","4","Very Confident",0,11000,1
"126","D","Esk","2","N/A",NA,2000,1
"127","D","Forth","1","Estimate",5e+05,940000,1
"128","D","Forth","1","Very Confident",232000,439000,1
"129","D","Forth","2","Estimate",7500,17500,2
"130","D","Forth","4","Estimate",15250000,30385000,2
"131","D","Forth","4","Very Confident",4205000,8205000,3
"132","D","Forth","5","",17000,32750,4
"133","D","Forth","5","N/A",0,NA,1
"134","D","Kyle of Sutherland","3","Estimate",6860227,6860227,1
"135","D","Kyle of Sutherland","4","",0,NA,1
"136","D","Kyle of Sutherland","5","Very Confident",7000,17000,1
"137","D","Lochaber","1","Fairly Confident",0,NA,2
"138","D","Ness","2","N/A",NA,NA,1
"139","D","Ness","2","Very Confident",0,70000,1
"140","D","Ness","3","Very Confident",0,5e+05,1
"141","D","Ness","4","Very Confident",0,6500,1
"142","D","Nith","5","Very Confident",0,1e+05,1
"143","D","Northern","1","Estimate",NA,NA,1
"144","D","Spey","1","Estimate",2e+05,2e+05,1
"145","D","Ugie","5","Very Confident",0,5000,1
"146","D","West Sutherland","2","Fairly Confident",883.333333333333,8100,3
"147","D","West Sutherland","3","",0,NA,4
"148","D","Western Isles","1","Little Confidence",750000,750000,1
"149","E","Annan","5","Fairly Confident",0,5000,1
"150","E","Ayr","5","Very Confident",5000,10000,1
"151","E","Beauly","5","",NA,82000,1
"152","E","Brora","2","N/A",0,NA,1
"153","E","Brora","4","Fairly Confident",0,60000,1
"154","E","Clyde","4","Estimate",1e+05,275000,1
"155","E","Cree","5","N/A",NA,NA,1
"156","E","Dee","5","Very Confident",25000,161160,1
"157","E","Deveron","1","Fairly Confident",20000,20000,1
"158","E","Deveron","2","Very Confident",0,713,1
"159","E","Deveron","3","Very Confident",0,23758,1
"160","E","Deveron","4","N/A",0,1248,1
"161","E","Deveron","4","Very Confident",0,1684,1
"162","E","Don","5","Very Confident",25000,80580,1
"163","E","Doon","5","Very Confident",0,2500,1
"164","E","Esk","5","Very Confident",0,41000,1
"165","E","Findhorn","5","Fairly Confident",0,73000,1
"166","E","Forth","1","Estimate",370000,720000,1
"167","E","Forth","5","Estimate",1027500,2050000,2
"168","E","Forth","5","Little Confidence",150000,3e+05,1
"169","E","Girvan","5","Very Confident",0,NA,1
"170","E","Helmsdale","5","",NA,NA,1
"171","E","Kyle of Sutherland","5","Very Confident",0,180000,1
"172","E","Lochaber","5","Fairly Confident",0,NA,1
"173","E","Lossie","5","Little Confidence",2500,2500,1
"174","E","Nairn","5","Fairly Confident",8000,33000,1
"175","E","Ness","3","Very Confident",0,60000,1
"176","E","Ness","4","Very Confident",0,60000,1
"177","E","Ness","5","Very Confident",0,32175,2
"178","E","Nith","5","Very Confident",30000,170000,1
"179","E","Northern","5","Very Confident",0,26000,1
"180","E","Spey","2","Very Confident",9000,9000,1
"181","E","Spey","5","Very Confident",161000,161000,1
"182","E","Stinchar","5","Fairly Confident",1000,1000,1
"183","E","Tay","5","Fairly Confident",0,4e+05,1
"184","E","Tweed","5","Very Confident",0,207000,1
"185","E","Western Isles","5","Very Confident",0,NA,1
