"","Proposed.Management.Action","District","Average_Funding_Shortfall","Average_Filtered_Costings_Data","Count"
"1","D","Ness",0,70000,1
"2","E","Deveron",0,713,1
"3","E","Spey",9000,9000,1
"4","H","Dee",0,4000,1
"5","H","Don",0,800,1
"6","J","Dee",0,950,1
"7","P","Skye",0,5e+05,1
