,Proposed.Management.Action,District,Scale,Costing.Certainty,Average_Funding_Shortfall,Average_Filtered_Costings_Data,Count
89,Barrier Mitigation,Tay,Targeted Location,Estimate,55000,329875,4
90,Barrier Mitigation,Tay,Targeted Location,Fairly Confident,0,4000,1
91,Barrier Mitigation,Tay,Targeted Location,Little Confidence,0,52000,1
92,Barrier Mitigation,Tay,River,Estimate,35000,91000,2
93,Barrier Mitigation,Tay,Whole District,Fairly Confident,0,60000,1
94,Barrier Mitigation,Tweed,Targeted Location,Little Confidence,5.00E+06,9.00E+06,1
95,Barrier Mitigation,Tweed,Targeted Location,N/A,NA,36000,5
96,Barrier Mitigation,Urr,Targeted Location,Fairly Confident,0,1400,2
97,Barrier Mitigation,West Sutherland,Targeted Location,,0,NA,5
98,Barrier Mitigation,Wester Ross,Targeted Location,Estimate,1850,2700,4
99,Barrier Mitigation,Western Isles,Targeted Location,Little Confidence,105000,105750,1
100,Campaigning,Deveron,River,N/A,0,NA,1
101,Campaigning,Deveron,Catchment,N/A,0,NA,1
102,Campaigning,Deveron,Whole District,Fairly Confident,5000,5000,1
103,Campaigning,Deveron,NA,N/A,0,NA,1
104,Campaigning,Esk,Whole District,N/A,NA,11000,1
105,Campaigning,Findhorn,Coastal,Little Confidence,NA,NA,3
106,Campaigning,Forth,Whole District,Estimate,11333.33333,22000,3
107,Campaigning,Forth,Whole District,N/A,0,5000,2
108,Campaigning,Nairn,Whole District,,NA,NA,3
109,Campaigning,Spey,Coastal,Estimate,1000,1000,1
110,Campaigning,Spey,Whole District,Fairly Confident,11000,21500,1
111,Campaigning,West Sutherland,Catchment,,0,NA,1
112,Collaboration,Argyll,Coastal,Fairly Confident,0,NA,8
113,Collaboration,Argyll,Catchment,Estimate,10000,10000,1
114,Collaboration,Beauly,Targeted Location,,NA,28100,2
115,Collaboration,Beauly,River,,NA,140,1
116,Collaboration,Beauly,Catchment,,NA,20180,6
117,Collaboration,Beauly,Whole District,,NA,1350,2
118,Collaboration,Caithness,River,Fairly Confident,6000,12000,1
119,Collaboration,Caithness,River,N/A,0,NA,1
120,Collaboration,Deveron,Coastal,N/A,0,NA,2
121,Collaboration,Deveron,River,Little Confidence,3500,3500,1
122,Collaboration,Deveron,Catchment,Fairly Confident,5000,5000,1
123,Collaboration,Doon,Targeted Location,Little Confidence,3000,3000,1
124,Collaboration,Doon,Catchment,N/A,NA,NA,1
125,Collaboration,Doon,Catchment,Very Confident,0,11000,1
126,Collaboration,Esk,Coastal,N/A,NA,2000,1
127,Collaboration,Forth,Targeted Location,Estimate,5.00E+05,940000,1
128,Collaboration,Forth,Targeted Location,Very Confident,232000,439000,1
129,Collaboration,Forth,Coastal,Estimate,7500,17500,2
130,Collaboration,Forth,Catchment,Estimate,15250000,30385000,2
131,Collaboration,Forth,Catchment,Very Confident,4205000,8205000,3
132,Collaboration,Forth,Whole District,,17000,32750,4
